Year,Month,Day,Location,Count_males,Count_females,Total,Weekly_average_prep_(inch),Weekly_average_temp_(F),Weekly_average_RH,Weekly_avg_wind_speed_(mph),Weekly_avg_soil_temp_(F),Region,Location_original
2007,3,30,Woodlake,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,Woodlake
2007,3,30,Ivanhoe,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,Ivanhoe
2007,3,30,Exeter,0,0,0,0.06,57.77,58.43,3.97,61.17,SSJV,Exeter
2007,3,30,South Exeter,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,South Exeter
2007,3,30,Tonyville,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,Tonyville
2007,3,30,West Lindsay,0,0,0,0.06,57.77,58.43,3.97,61.17,SSJV,West Lindsay
2007,3,30,Strathmore,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,Strathmore
2007,3,30,Porterville,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,Porterville
2007,3,30,Terra Bella,0,0,0,0.04,56.7,65.29,4.27,59.7,SSJV,Terra Bella
2007,4,6,Woodlake,0,1,1,0,64.27,59,3.34,61.67,SSJV,Woodlake
2007,4,6,Ivanhoe,3,1,4,0,64.27,59,3.34,61.67,SSJV,Ivanhoe
2007,4,6,Exeter,1,0,1,0.05,65.46,50.14,3.17,63.66,SSJV,Exeter
2007,4,6,South Exeter,0,0,0,0,64.27,59,3.34,61.67,SSJV,South Exeter
2007,4,6,Tonyville,0,0,0,0,64.27,59,3.34,61.67,SSJV,Tonyville
2007,4,6,West Lindsay,0,0,0,0.05,65.46,50.14,3.17,63.66,SSJV,West Lindsay
2007,4,6,Strathmore,1,0,1,0,64.27,59,3.34,61.67,SSJV,Strathmore
2007,4,6,Porterville,0,0,0,0,64.27,59,3.34,61.67,SSJV,Porterville
2007,4,6,Terra Bella,9,3,12,0,64.27,59,3.34,61.67,SSJV,Terra Bella
2007,4,13,Woodlake,3,0,3,0,59.96,52.57,6.09,62.2,SSJV,Woodlake
2007,4,13,Ivanhoe,0,0,0,0,59.96,52.57,6.09,62.2,SSJV,Ivanhoe
